"octave1","octave2","octave3","octave4","octave5","octave6","octave7","octave8","octave9","octave10","octave11","quality"
1137.500,190.000,192.000,195.125,185.148,137.576,87.449,65.945,41.886,0.000,0.000,90
1111.000,187.000,227.500,204.000,189.758,149.042,126.072,75.480,57.452,0.283,0.000,-90
1111.000,142.000,191.500,181.625,156.586,129.637,124.360,97.926,79.450,51.135,0.000,180
1143.500,188.000,224.000,220.250,201.969,178.820,147.406,102.958,70.497,45.171,0.000,-180
1101.000,114.000,154.000,210.875,188.859,143.529,118.589,77.676,117.068,77.694,0.000,360
1113.000,116.000,162.000,225.125,190.773,153.793,146.227,125.722,65.621,48.744,0.000,-360
1107.000,110.000,170.000,191.500,183.328,214.601,122.705,159.384,55.361,75.157,0.000,-90
1131.500,211.000,231.000,208.625,178.750,172.308,138.887,95.049,73.137,53.162,0.000,90
1128.000,162.000,192.500,197.125,176.414,187.976,144.796,106.932,95.090,70.048,0.000,-180
1124.500,208.000,217.000,197.750,190.070,124.339,90.486,120.968,60.983,46.467,0.000,180
1152.000,219.000,222.500,228.875,209.172,136.694,107.403,98.323,60.006,41.087,0.000,360
1135.000,201.000,225.000,220.500,207.695,181.944,146.737,98.839,74.736,32.726,0.000,-360
1133.000,135.000,194.000,189.250,203.406,172.834,149.240,91.431,59.522,13.266,0.000,-90
1151.500,235.000,252.000,225.625,220.344,172.953,130.731,106.404,83.775,54.642,0.000,90
1132.000,195.000,212.500,232.875,198.531,146.986,145.248,127.693,102.202,76.292,0.000,-180
1120.500,149.000,201.500,219.750,204.148,156.158,126.827,100.546,104.278,60.887,0.000,180
1151.500,208.000,214.000,207.750,175.742,151.910,121.990,120.139,52.678,11.437,0.000,-90
1124.500,154.000,208.000,201.750,162.273,129.554,116.418,89.096,76.918,45.428,0.000,90
1106.000,175.000,224.000,205.000,180.156,148.194,135.000,87.718,69.013,17.984,0.000,-180

